Date,Price
Mon Dec 21 06:10:00 UTC 2020,23847.0
Mon Dec 21 06:20:00 UTC 2020,23724.5
Mon Dec 21 06:30:00 UTC 2020,23841.5
Mon Dec 21 06:40:00 UTC 2020,23837.5
Mon Dec 21 06:50:00 UTC 2020,23898.0
Mon Dec 21 07:00:00 UTC 2020,23942.0
Mon Dec 21 07:10:00 UTC 2020,24047.5
Mon Dec 21 07:20:00 UTC 2020,23978.0
Mon Dec 21 07:30:00 UTC 2020,23964.0
Mon Dec 21 07:40:00 UTC 2020,23987.0
Mon Dec 21 07:50:00 UTC 2020,23997.5
Mon Dec 21 08:00:00 UTC 2020,23992.0
Mon Dec 21 08:10:00 UTC 2020,23914.5
Mon Dec 21 08:20:00 UTC 2020,23905.0
Mon Dec 21 08:30:00 UTC 2020,23854.5
Mon Dec 21 08:40:00 UTC 2020,23854.0
Mon Dec 21 08:50:00 UTC 2020,23776.5
Mon Dec 21 09:00:00 UTC 2020,23667.5
Mon Dec 21 09:10:00 UTC 2020,23627.5
Mon Dec 21 09:20:00 UTC 2020,23672.0
Mon Dec 21 09:30:00 UTC 2020,23625.5
Mon Dec 21 09:40:00 UTC 2020,23678.0
Mon Dec 21 09:50:00 UTC 2020,23450.5
Mon Dec 21 10:00:00 UTC 2020,23487.0
Mon Dec 21 10:10:00 UTC 2020,23225.5
Mon Dec 21 10:20:00 UTC 2020,22802.0
Mon Dec 21 10:30:01 UTC 2020,22779.0
Mon Dec 21 10:40:00 UTC 2020,22924.0
Mon Dec 21 10:50:00 UTC 2020,22799.0
Mon Dec 21 11:00:00 UTC 2020,22425.5
Mon Dec 21 11:10:00 UTC 2020,22660.0
Mon Dec 21 11:20:00 UTC 2020,22749.5
Mon Dec 21 11:30:00 UTC 2020,22717.0
Mon Dec 21 11:40:00 UTC 2020,22672.5
Mon Dec 21 11:50:00 UTC 2020,22780.5
Mon Dec 21 12:00:00 UTC 2020,22650.0
Mon Dec 21 12:10:00 UTC 2020,22567.0
Mon Dec 21 12:20:00 UTC 2020,22238.0
Mon Dec 21 12:30:00 UTC 2020,22257.5
Mon Dec 21 12:40:00 UTC 2020,22318.0
Mon Dec 21 12:50:00 UTC 2020,22266.5
Mon Dec 21 13:00:00 UTC 2020,22313.5
Mon Dec 21 13:10:00 UTC 2020,22609.5
Mon Dec 21 13:20:00 UTC 2020,22650.0
Mon Dec 21 13:30:00 UTC 2020,22703.5
Mon Dec 21 13:40:00 UTC 2020,22686.0
Mon Dec 21 13:50:00 UTC 2020,22699.0
Mon Dec 21 14:00:00 UTC 2020,22816.5
Mon Dec 21 14:10:00 UTC 2020,22642.5
Mon Dec 21 14:20:00 UTC 2020,22754.5
Mon Dec 21 14:30:00 UTC 2020,22770.0
Mon Dec 21 14:40:00 UTC 2020,22881.0
Mon Dec 21 14:50:00 UTC 2020,23099.5
Mon Dec 21 15:00:00 UTC 2020,23167.5
Mon Dec 21 15:10:00 UTC 2020,23054.5
Mon Dec 21 15:20:00 UTC 2020,23089.5
Mon Dec 21 15:30:00 UTC 2020,23039.0
Mon Dec 21 15:40:00 UTC 2020,22948.5
Mon Dec 21 15:50:00 UTC 2020,23120.0
Mon Dec 21 16:00:00 UTC 2020,23115.0
Mon Dec 21 16:10:00 UTC 2020,23050.5
Mon Dec 21 16:20:00 UTC 2020,23125.0
Mon Dec 21 16:30:00 UTC 2020,23234.0
Mon Dec 21 16:40:00 UTC 2020,23261.5
Mon Dec 21 16:50:00 UTC 2020,23337.5
Mon Dec 21 17:00:00 UTC 2020,23222.0
Mon Dec 21 17:10:00 UTC 2020,23207.0
Mon Dec 21 17:20:00 UTC 2020,23095.5
Mon Dec 21 17:30:00 UTC 2020,22820.0
Mon Dec 21 17:40:00 UTC 2020,22728.5
Mon Dec 21 17:50:00 UTC 2020,22824.0
Mon Dec 21 18:00:00 UTC 2020,22737.5
Mon Dec 21 18:10:00 UTC 2020,22746.5
Mon Dec 21 18:20:00 UTC 2020,22813.0
Mon Dec 21 18:30:00 UTC 2020,22810.5
Mon Dec 21 18:40:00 UTC 2020,22866.5
Mon Dec 21 18:50:00 UTC 2020,22898.0
Mon Dec 21 19:00:00 UTC 2020,22826.5
Mon Dec 21 19:10:00 UTC 2020,22950.0
Mon Dec 21 19:20:00 UTC 2020,22923.0
Mon Dec 21 19:30:00 UTC 2020,22870.5
Mon Dec 21 19:40:00 UTC 2020,22738.0
Mon Dec 21 19:50:00 UTC 2020,22751.0
Mon Dec 21 20:00:00 UTC 2020,22830.5
Mon Dec 21 20:10:00 UTC 2020,22836.5
Mon Dec 21 20:20:00 UTC 2020,22909.0
Mon Dec 21 20:30:00 UTC 2020,22900.0
Mon Dec 21 20:40:00 UTC 2020,22938.0
Mon Dec 21 20:50:00 UTC 2020,22811.0
Mon Dec 21 21:00:00 UTC 2020,22827.5
Mon Dec 21 21:10:00 UTC 2020,22836.5
Mon Dec 21 21:20:00 UTC 2020,22872.0
Mon Dec 21 21:30:00 UTC 2020,22899.5
Mon Dec 21 21:40:00 UTC 2020,23053.5
Mon Dec 21 21:50:00 UTC 2020,23090.0
Mon Dec 21 22:00:00 UTC 2020,23153.0
Mon Dec 21 22:10:00 UTC 2020,23130.0
Mon Dec 21 22:20:00 UTC 2020,23232.5
Mon Dec 21 22:30:00 UTC 2020,23128.5
Mon Dec 21 22:40:00 UTC 2020,23153.0
Mon Dec 21 22:50:00 UTC 2020,23144.0
Mon Dec 21 23:00:00 UTC 2020,23177.0
Mon Dec 21 23:10:00 UTC 2020,23154.5
Mon Dec 21 23:20:00 UTC 2020,23082.5
Mon Dec 21 23:30:00 UTC 2020,23098.0
Mon Dec 21 23:40:00 UTC 2020,22979.0
Mon Dec 21 23:50:00 UTC 2020,22843.5
Tue Dec 22 00:00:00 UTC 2020,22729.5
Tue Dec 22 00:10:00 UTC 2020,22883.0
Tue Dec 22 00:20:00 UTC 2020,22891.5
Tue Dec 22 00:30:00 UTC 2020,22902.5
Tue Dec 22 00:40:00 UTC 2020,22677.5
Tue Dec 22 00:50:00 UTC 2020,22636.5
Tue Dec 22 01:00:00 UTC 2020,22581.5
Tue Dec 22 01:10:00 UTC 2020,22661.0
Tue Dec 22 01:20:00 UTC 2020,22649.5
Tue Dec 22 01:30:00 UTC 2020,22637.5
Tue Dec 22 01:40:00 UTC 2020,22754.5
Tue Dec 22 01:50:00 UTC 2020,22830.5
Tue Dec 22 02:00:00 UTC 2020,22768.5
Tue Dec 22 02:10:00 UTC 2020,22835.0
Tue Dec 22 02:20:00 UTC 2020,22869.5
Tue Dec 22 02:30:00 UTC 2020,22829.5
Tue Dec 22 02:40:00 UTC 2020,22892.0
Tue Dec 22 02:50:00 UTC 2020,22889.0
Tue Dec 22 03:00:00 UTC 2020,22953.0
Tue Dec 22 03:10:00 UTC 2020,22870.5
Tue Dec 22 03:20:00 UTC 2020,22824.0
Tue Dec 22 03:30:00 UTC 2020,22839.0
Tue Dec 22 03:40:00 UTC 2020,22750.0
Tue Dec 22 03:50:00 UTC 2020,22914.0
Tue Dec 22 04:00:00 UTC 2020,22849.5
Tue Dec 22 04:10:00 UTC 2020,23068.0
Tue Dec 22 04:20:00 UTC 2020,23028.5
Tue Dec 22 04:30:00 UTC 2020,22993.5
Tue Dec 22 04:40:00 UTC 2020,22973.5
Tue Dec 22 04:50:00 UTC 2020,22940.5
Tue Dec 22 05:00:00 UTC 2020,22953.0
Tue Dec 22 05:10:00 UTC 2020,22872.0
Tue Dec 22 05:20:00 UTC 2020,22884.0
Tue Dec 22 05:30:00 UTC 2020,22825.0
Tue Dec 22 05:40:00 UTC 2020,22710.0
Tue Dec 22 05:50:00 UTC 2020,22669.0
